,Unnamed: 0,기관,시군구,주소,지역
75,,(사단) 한국조혈모세포은행협회,서울특별시 종로구,서울 용산구 한강대로102길 17 (동자동)2층 한국조혈모세포은행협회,서울
76,,사단법인 외국인노동자와 함께,서울특별시 종로구,서울특별시 종로구 창신동 창신6다길8-4,서울
77,,(사) 한국로타리청소년연합,서울특별시 종로구,서울 종로구 당주동 로얄빌딩930호,서울
78,,(사)대한불교청년회,서울특별시 종로구,서울특별시 종로구 견지동 우정국로 67전법회관 401호,서울
79,,구립종로노인종합복지관,서울특별시 종로구,서울특별시 종로구 율곡로19길 17-8 (이화동)종로노인종합복지관,서울
80,,한국방송통신대학교,서울특별시 종로구,서울특별시 종로구 대학로 86 (동숭동)한국방송통신대학교 중앙도서관,서울
81,,종로구 건강가정지원센터,서울특별시 종로구,서울 종로구 창신2동 596-2 동부여성문화센터 2층,서울
82,,사회복지법인 각당복지재단,서울특별시 종로구,서울 종로구 신문로2가 1-42,서울
83,,(사) 밝은사회국제클럽한국본부,서울특별시 종로구,서울 종로구 권농동 115-3,서울
84,,SK이노베이션 (주),서울특별시 종로구,서울특별시 종로구 서린동 종로26 SK빌딩,서울
85,,(사)생명나눔실천본부,서울특별시 종로구,서울 종로구 견지동110 대성스카이렉스 101동 406호,서울
86,,자비의전화,서울특별시 종로구,서울특별시 성북구 개운사길 59 (안암동5가)1층 자비의전화,서울
87,,교보생명보험(주),서울특별시 종로구,서울 종로구 종로 1 (종로1가)교보생명빌딩 8층 교보다솜이지원센터,서울
88,,라파엘의집,서울특별시 종로구,서울 종로구 체부동 104번지,서울
89,,서울노인복지센터,서울특별시 종로구,서울 종로구 경운동 90-3,서울
90,,(사)나눔문화연구소,서울특별시 종로구,서울 종로구 자하문로10길 28 (통의동)3층 나눔문화,서울
91,,거리의천사들,서울특별시 종로구,서울 종로구 이화장길 36 (이화동)2층,서울
92,,(사)사랑터,서울특별시 종로구,서울 종로구 동숭동2-9 대보스위트빌A동 102호,서울
93,,대한불교조계종사회복지재단,서울특별시 종로구,서울 종로구 견지동13번지 전법회관 6층 대한불교조계종사회복지재단,서울
94,,청운양로원,서울특별시 종로구,서울특별시 종로구 구기동 비봉길76(청운양로원),서울
95,,청운노인요양원,서울특별시 종로구,서울 종로구 구기동216,서울
0,,한국소아암재단,서울특별시 중구,서울 중구 중림로 47-1 (중림동)3층 한국소아암재단,서울
1,,구립중림어르신데이케어센터,서울특별시 중구,서울 중구 서소문로6길 16 (중림동)중림종합복지센터 본관4층,서울
2,,파란마음주간보호센터,서울특별시 중구,서울 중구 다산로22길 11 (신당동)1층,서울
3,,구립중구노인요양센터,서울특별시 중구,서울특별시 중구 필동로 96 (장충동2가)구립중구노인요양센터,서울
4,,서울시청소년상담복지센터,서울특별시 중구,서울특별시 중구 을지로11길 23 (수표동)7층 서울시청소년상담복지센터,서울
5,,(재) 중앙입양원,서울특별시 중구,서울 서대문구 경기대로 47 (충정로2가)진양빌딩 7층,서울
6,,(주) 코리아세븐,서울특별시 중구,"서울특별시 중구 소월로3, 롯데손해보험빌딩 7층",서울
7,,노블레스라이프요양원,서울특별시 중구,"서울특별시 중구 다산로168, 성원빌딩 3층",서울
8,,(사) 나눔축산운동본부,서울특별시 중구,서울 송파구 동남로23길 56 (오금동)4층,서울
9,,(사)서울특별시아동복지협회,서울특별시 중구,"서울특별시 중구 소파로130, B동 1층",서울
10,,밝은미래아동상담소,서울특별시 중구,서울 중구 다산로12길 39 (신당동)39 밝은미래빌딩,서울
11,,사단법인열린의사회,서울특별시 중구,서울특별시 중구 태평로1가 세종대로21길49 사조빌딩 본관 601호,서울
12,,사단법인전국지역아동센터협의회서울특별시지부,서울특별시 중구,서울특별시 중구 황학동 난계로11길14 다온빌딩 301호,서울
13,,성공회푸드뱅크,서울특별시 중구,서울특별시 중구 정동 세종대로21길15,서울
14,,은혜의 집,서울특별시 중구,"서울특별시 성북구 돈암동 북악산로913, 101동103호",서울
15,,(사) 한국농아인협회 서울특별시협회 중구지부,서울특별시 중구,"서울특별시 중구 남산동2가 퇴계로20길41-11, 남산쉼터2층",서울
16,,소중한 사람들,서울특별시 중구,서울특별시 중구 중림로8길12,서울
17,,사단법인 글로벌투게더,서울특별시 중구,"서울특별시 중구 다산로232 (신당동,창원빌딩201호)",서울
18,,(사) 대한간호협회,서울특별시 중구,서울특별시 중구 동호로314 (쌍림동) 대한간호협회,서울
19,,농업협동조합중앙회,서울특별시 중구,서울특별시 중구 충정로1가  농업협동조합중앙회건물본관 8층,서울
20,,재단법인 우리다문화장학재단,서울특별시 중구,서울특별시 중구 소공로51 우리은행본점,서울
21,,서울중구장애인복지관,서울특별시 중구,서울특별시 중구 신당동  160-2,서울
22,,중구재가노인지원센터,서울특별시 중구,서울특별시 중구 신당5동  154-26,서울
23,,삼성생명보험 (주),서울특별시 중구,서울특별시 중구 태평로2가  삼성생명빌딩6층 지속가능경영센터,서울
24,,사단법인 더 멋진 세상,서울특별시 중구,"서울특별시 중구 삼일대로4길9, 703호(충무로2가, 라이온스B/D)",서울
25,,중구 아이존,서울특별시 중구,서울특별시 중구 서소문로6길16 중림종합복지센터 3층,서울
26,,유엔난민기구 (UNHCR),서울특별시 중구,서울 중구 을지로1가 16 금세기빌딩 7층,서울
27,,중림종합사회복지관,서울특별시 중구,서울 중구 서소문로6길 16 (중림동)5층 복지관사무실,서울
28,,서민금융진흥원,서울특별시 중구,서울특별시 중구 세종대로124 서민금융진흥원,서울
29,,서울와이더블유씨에이,서울특별시 중구,서울 중구 명동11길 20 (명동1가)1-1,서울
30,,(사) 한국재난구호,서울특별시 중구,서울 강남구 강남대로94길 70 (역삼동)3층,서울
31,,재단법인 한국장애인재단,서울특별시 중구,서울 중구 순화동 215  207호,서울
32,,어린이재단 서울북부지역본부,서울특별시 중구,서울특별시 중구 무교로 20 (무교동)어린이재단빌딩 6층 서울북부지역본부,서울
33,,(재)한국의료지원재단,서울특별시 중구,서울특별시 중구 삼각동  115 경기빌딩 1201호,서울
34,,(주)신한금융지주회사,서울특별시 중구,서울특별시 중구 세종대로9길 20,서울
35,,신당꿈지역아동센터,서울특별시 중구,서울특별시 중구 신당동  370-48  남정빌딩 4층,서울
36,,(사)한국종이접기협회,서울특별시 중구,서울 중구 신당동 366-104 명진빌딩,서울
37,,신당종합사회복지관,서울특별시 중구,서울특별시 중구 동호로11길22,서울
38,,월드풋프린트,서울특별시 중구,서울 강서구 화곡1동 915-2 대성스카이빌 1003호,서울
39,,재단법인 아이비케이행복나눔재단,서울특별시 중구,서울 중구 을지로2가중소기업은행본점18층블럭,서울
40,,서울시사회복지관협회,서울특별시 중구,서울 중구 예장동 8-20 3층,서울
41,,(사)한국장애인이워크협회,서울특별시 중구,서울특별시 금천구 가산동  371-51 한국전자협동(주)A-102호,서울
42,,사단법인 나눔과기쁨,서울특별시 중구,서울 마포구 토정로 319 (용강동)3층,서울
43,,신당데이케어센터,서울특별시 중구,서울특별시 중구 다산로25길 6 (신당동)신당데이케어센터,서울
44,,신당동성당데이케어센터,서울특별시 중구,서울특별시 중구 동호로20다길 9 (신당동)신당동성당데이케어센터,서울
45,,영락주간보호센터,서울특별시 중구,서울 중구 저동2가69번지,서울
46,,(사)한국해비타트,서울특별시 중구,서울특별시 중구 신당동 동호로 195-7송죽빌딩 한국해비타트,서울
47,,유락종합사회복지관,서울특별시 중구,서울특별시 중구 퇴계로 460유락종합사회복지관,서울
48,,중구치매지원센터,서울특별시 중구,서울 중구 청구로8길 22 (신당동)중구치매안심센터,서울
49,,한국장애인고용안정협회,서울특별시 중구,서울특별시 영등포구 여의도동 의사당대로 22이룸센터 404호,서울
50,,한국자유총연맹,서울특별시 중구,서울 중구 장충동2가201-6,서울
51,,주식회사 하나금융지주,서울특별시 중구,서울 중구 을지로2가 9-10,서울
52,,효도본부노인복지센터,서울특별시 중구,서울 중구 신당2동377-23 6/1,서울
53,,(주)에스원,서울특별시 중구,서울 중구 순화동에스원빌딩-,서울
54,,삼성화재해상보험 (주),서울특별시 중구,서울특별시 중구 을지로1가 을지로29 삼성화재,서울
55,,약수노인종합복지관,서울특별시 중구,서울 중구 신당동366-18,서울
56,,서울특별시지적장애인복지협회 중구지부,서울특별시 중구,서울 중구 신당4동340-180,서울
57,,사랑실천공동체,서울특별시 중구,서울특별시 용산구 동자동  43-17(한강로369),서울
58,,시립서울청소년수련관,서울특별시 중구,서울 중구 수표동27-2,서울
59,,서울특별시건강가정지원센터,서울특별시 중구,서울 중구 예장동4-6(소파로4길 6),서울
60,,서울시그룹홈지원센터,서울특별시 중구,서울특별시 강남구 대치동1024-3 5층,서울
61,,사단법인 함께만드는세상,서울특별시 중구,서울 중구 충무로2가51-3 인성빌딩 7층,서울
62,,한화토탈 주식회사,서울특별시 중구,서울특별시 중구 세종대로92 한화금융프라자 20층 한화토탈,서울
63,,동국대학교,서울특별시 중구,서울 중구 필동3가 동국대학교본관3층 참사람봉사단,서울
64,,중구정신건강증진센터,서울특별시 중구,서울특별시 중구 서소문로6길중림종합복지센터 3층,서울
65,,(사)서울시니어아카데미,서울특별시 중구,서울특별시 종로구 인의동  167 천주교 서울대교구 시니어센터(종로성당 4층),서울
66,,사회복지법인 남산원,서울특별시 중구,서울 중구 예장동8-6,서울
67,,재단법인 스마일,서울특별시 중구,서울 중구 을지로1길 15 (을지로1가)서광빌딩 701호,서울
68,,중소기업은행,서울특별시 중구,서울특별시 중구 을지로2가 을지로79,서울
69,,신한카드(주),서울특별시 중구,서울특별시 중구 을지로 100 (을지로2가)파인애비뉴 A동,서울
70,,사회복지공동모금회,서울특별시 중구,서울 중구 정동1-17 사랑의열매회관 5층,서울
71,,(사)농촌사랑범국민운동본부,서울특별시 중구,서울 중구 새문안로 16 (충정로1가)본관 L층,서울
72,,신한생명,서울특별시 중구,서울특별시 중구 을지로2가88-5 신한L타워,서울
73,,재단법인 하나금융나눔재단,서울특별시 중구,"서울특별시 중구 다동길43 (다동, 한외빌딩) 6층",서울
74,,롯데쇼핑(주),서울특별시 중구,서울 중구 소공동 1번지 롯데백화점 본사 17층 사원복지팀,서울
75,,중구청소년수련관,서울특별시 중구,서울 중구 신당동844-5,서울
76,,남산실버복지센터,서울특별시 중구,서울특별시 중구 동호로5길 189 (신당동)남산실버복지센터,서울
77,,SK텔레콤(주),서울특별시 중구,서울 중구 을지로2가11번지 CSV기획팀,서울
78,,(주)신한은행,서울특별시 중구,서울특별시 중구 세종대로9길 20 신한은행 사회공헌부,서울
79,,국립중앙의료원,서울특별시 중구,서울특별시 중구 을지로 245 (을지로6가)국립중앙의료원 사회사업팀,서울
80,,여성시각장애인주간보호센터,서울특별시 중구,서울 중구 소공로4길 15 (회현동2가)2층,서울
81,,서울가톨릭사회복지회,서울특별시 중구,서울 중구 명동2가 가톨릭회관 405호,서울
82,,사회복지법인 씨제이나눔재단,서울특별시 중구,서울특별시 중구 소월로2길 12 (남대문로5가)CJ빌딩 9층 CJ나눔재단,서울
83,,사회복지법인 어린이재단,서울특별시 중구,서울특별시 중구 무교로 20 (무교동)어린이재단빌딩,서울
0,,닥터참사랑데이케어센터,서울특별시 용산구,"서울 용산구 원효로 155 (원효로2가)1, 3층",서울
1,,마리공동체(주여성그룹홈),서울특별시 용산구,"서울 용산구 청파로57길 34 (청파동1가, 대명시티파크)A101동 101호",서울
2,,서울특별시립 서울역쪽방상담소,서울특별시 용산구,서울 용산구 후암로57길 35-15 (동자동)2층.,서울
3,,사단법인 스포츠닥터스(UN DPI NGO),서울특별시 용산구,서울특별시 용산구 한남대로21길 8 (한남동)702호,서울
4,,휴앤시니어한강데이케어센터,서울특별시 용산구,서울특별시 용산구 한강대로10길 11-18 (한강로3가)2층,서울
5,,용산행복장애인자립생활센터,서울특별시 용산구,서울특별시 용산구 원효로89길 31 (원효로1가)1층,서울
6,,미소꿈터,서울특별시 용산구,서울특별시 용산구 한강대로357-1,서울
7,,서울시 농아노인 지원센터,서울특별시 용산구,"서울특별시 용산구 한강로3가 한강대로21길17-7, 2층",서울
8,,성심모자원,서울특별시 용산구,서울특별시 용산구 도원동 새창로12길11-3,서울
9,,용산데이케어센터,서울특별시 용산구,서울특별시 용산구 한남동 독서당로11길16,서울
10,,사단법인 나누미,서울특별시 용산구,서울특별시 용산구 동자동 한강대로353-2,서울
11,,행복이가득한집,서울특별시 용산구,서울특별시 용산구 후암동 후암로28라길9 예원빌라 201호,서울
12,,빛나라공부방,서울특별시 용산구,서울특별시 용산구 동자동  19-28호,서울
13,,사단법인 다문화종합복지센터,서울특별시 용산구,서울특별시 용산구 청파동1가176-6번지 성화빌딩 4층,서울
14,,사단법인 푸른나눔,서울특별시 용산구,서울특별시 서초구 서초동 명달로43 유성빌딩 4층,서울
15,,구립한남노인요양원,서울특별시 용산구,서울특별시 용산구 독서당로103,서울
16,,아프리카아시아 난민교육후원회,서울특별시 용산구,서울특별시 용산구 용문동32-48 금강빌딩 5층,서울
17,,사단법인 한국아동청소년그룹홈협의회,서울특별시 용산구,서울 중구 을지로18길 5 (을지로4가)무광빌딩6층 한국아동청소년그룹홈협의회,서울
18,,사단법인 꿈틔움,서울특별시 용산구,서울 강남구 테헤란로78길 14-11 (대치동)돌채타워 4층,서울
19,,풍성한지역아동센터,서울특별시 용산구,서울 용산구 보광동 254번지 4층,서울
20,,사단법인 코피온,서울특별시 용산구,서울 마포구 토정로 296 (용강동)4층,서울
21,,영락지역아동복지센터,서울특별시 용산구,서울 용산구 후암동 370번지,서울
22,,한벗주간보호,서울특별시 용산구,서울특별시 용산구 효창원로69길 42-3한벗장애인주간보호 2층,서울
23,,서울지방보훈청,서울특별시 용산구,서울 용산구 한강로1가 107,서울
24,,사단법인 해돋는마을,서울특별시 용산구,서울 용산구 동자동 43-42 1층,서울
25,,대한민국교육봉사단,서울특별시 용산구,서울특별시 성동구 성수일로10길 33 (성수동2가)9층 915호,서울
26,,사단법인 서울노숙인복지시설협회,서울특별시 용산구,서울 성동구 가람길 125 (송정동)-,서울
27,,사단법인 장애인직업안정연구원,서울특별시 용산구,서울 강남구 테헤란로78길 14-11 (대치동)4층,서울
28,,인정만나샘,서울특별시 용산구,서울특별시 용산구 후암로57길45,서울
29,,한살림서울생활협동조합용산지역아동센터,서울특별시 용산구,"서울특별시 용산구 청파로71길40, 2층",서울
30,,용산구다문화가족지원센터,서울특별시 용산구,서울 용산구 한남동   685-46번지 한남동공영주차장/복합문화센터 3층,서울
31,,좋은학교만들기학부모모임,서울특별시 용산구,서울특별시 영등포구 대방천로140-1,서울
32,,순천향대학교의과대학부속병원,서울특별시 용산구,서울 용산구 한남동657,서울
33,,스롤라인,서울특별시 용산구,서울 용산구 문배동20-3 이레빌딩 1층,서울
34,,용산구건강가정지원센터,서울특별시 용산구,서울 용산구 한남동728-10 용산여성문화회관 1층,서울
35,,재단법인 삼일미래재단,서울특별시 용산구,서울특별시 용산구 한강로2가 한강대로92 LS용산타워 6층,서울
36,,용산장애인복지관,서울특별시 용산구,서울 용산구 효창동3-268  구립용산장애인복지관,서울
37,,사회복지법인 혜심원,서울특별시 용산구,서울 용산구 후암동435-2,서울
38,,청파노인복지센터,서울특별시 용산구,서울특별시 용산구 서계동 청파로83길26(서계동 44-39),서울
39,,생명나무지역아동꿈터,서울특별시 용산구,서울 용산구 백범로43길 2 (효창동)지1층,서울
40,,사회복지법인 에이블복지재단,서울특별시 용산구,서울 용산구 한강대로7길 17 (한강로3가)서울빌딩 1층,서울
41,,구립용산노인전문요양원,서울특별시 용산구,서울 용산구 효창동3-306(효창공원 후문앞),서울
42,,(사)한국장애인유권자연맹,서울특별시 용산구,서울 용산구 원효로2가1-32호 고당빌딩302호,서울
43,,서울특별시립 다시서기 종합지원센터,서울특별시 용산구,서울특별시 용산구 갈월동 한강대로92길 6다시서기종합지원센터,서울
44,,재단법인 행복나눔재단,서울특별시 용산구,서울특별시 용산구 장문로 60 (동빙고동)행복나눔재단,서울
45,,(사)한국사회복지사협회,서울특별시 용산구,"서울 영등포구 문래로20길 60 (문래동3가)403호, 404호, 405호, 409호",서울
46,,갈월종합사회복지관,서울특별시 용산구,서울 용산구 두텁바위로 25 (갈월동)갈월종합사회복지관 2층 사무실,서울
47,,영락애니아의집,서울특별시 용산구,서울 용산구 후암동 370번지 영락애니아의집,서울
48,,시립용산노인종합복지관,서울특별시 용산구,서울 용산구 한남동 108번지,서울
49,,중앙가정위탁지원센터,서울특별시 용산구,서울특별시 마포구 백범로 1192층 중앙가정위탁지원센터,서울
50,,효창종합사회복지관,서울특별시 용산구,서울특별시 용산구 효창동 효창원로146-12,서울
51,,중증장애인독립생활연대,서울특별시 용산구,서울 용산구 한강로2가80-2 풍양빌딩1층,서울
52,,한국부름의전화자원활동대,서울특별시 용산구,서울특별시 용산구 원효로2가 원효로 193 3층,서울
53,,영락보린원,서울특별시 용산구,서울 용산구 후암동370번지,서울
0,,성모다움,서울특별시 성동구서울특별시 광진구,서울 성동구 청계천로 506 (마장동)-,서울
1,,유한회사 행복도시락(중구점 행복을 나누는 도시락센터),서울특별시 성동구서울특별시 광진구,서울 성동구 청계천로10나길 69 (마장동)지하1층,서울
2,,지역아동센터도깨비방망이공부방,서울특별시 성동구서울특별시 광진구,서울특별시 성동구 성덕정길 70 (성수동1가)2층,서울
3,,성동구립 사근동노인복지센터,서울특별시 성동구서울특별시 광진구,서울특별시 성동구 사근동길 37 (사근동)2층,서울
4,,한마음너싱홈복지센터,서울특별시 성동구서울특별시 광진구,서울특별시 성동구 용답동19-10,서울
5,,시립동부데이케어센터,서울특별시 성동구서울특별시 광진구,서울특별시 성동구 마장로23길12,서울
6,,서울숲재활요양원,서울특별시 성동구서울특별시 광진구,"서울특별시 성동구 뚝섬로401-2, 3층",서울
7,,성동구 다문화가족지원센터,서울특별시 성동구서울특별시 광진구,"서울특별시 성동구 무학로6길9, 성동구 건강가정지원센터 3층",서울
8,,재단법인 아름다운가게,서울특별시 성동구서울특별시 광진구,서울 중구 소공로 34 (회현동2가)아름다운가게,서울
9,,멋진월요일,서울특별시 성동구서울특별시 광진구,서울특별시 성동구 성수동2가 성덕정길116 성우빌딩 4층,서울
10,,선재누리,서울특별시 성동구서울특별시 광진구,서울특별시 성동구 도선동 무학로4길21,서울
11,,사단법인 아시안프렌즈,서울특별시 성동구서울특별시 광진구,서울특별시 성동구 도선동 고산자로269 신한넥스텔 1012호,서울
12,,왕십리도선동노인복지센터 병설 데이케어센터,서울특별시 성동구서울특별시 광진구,서울특별시 성동구 상왕십리동 마장로 141왕십리도선동공공복합청사 4층,서울
13,,왕십리도선동노인복지센터,서울특별시 성동구서울특별시 광진구,서울특별시 성동구 상왕십리동 마장로 141(상왕십리동),서울
14,,서울특별시시설관리공단,서울특별시 성동구서울특별시 광진구,서울특별시 성동구 마장동 청계천로 540,서울
15,,조이스터디 지역아동센터,서울특별시 성동구서울특별시 광진구,서울특별시 성동구 마장동청계천로 10다길 34-14 3층,서울
16,,성수종합사회복지관,서울특별시 성동구서울특별시 광진구,서울 성동구 성수동1가 656-323 5층,서울
17,,성동여성인력개발센터,서울특별시 성동구서울특별시 광진구,서울 성동구 도선동   (무학로2일 54) 신방빌딩 1층,서울
18,,비전트레이닝센터,서울특별시 성동구서울특별시 광진구,서울특별시 성동구 용답동 자동차시장길48,서울
19,,성동지역아동복지센터,서울특별시 성동구서울특별시 광진구,서울 성동구 하왕십리동 978번지,서울
